ID=968cce1f-7680-4017-925a-a520faba3fbd | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:24.922 | ÚltimaExecução=00:35:25.049
ID=b73b8635-9a11-41ad-bd06-eb803d052bd3 | Reentradas=0 | Latência=147ms | Status=sfSucesso | Entrada=00:35:09.843 | ÚltimaExecução=00:35:09.990
ID=c7a67908-47c3-44e4-89a9-a1ece995d914 | Reentradas=2 | Latência=1129ms | Status=sfSucesso | Entrada=00:34:54.417 | ÚltimaExecução=00:35:06.899
ID=1f12937c-8736-4546-a23d-4cd89206e769 | Reentradas=3 | Latência=147ms | Status=sfSucesso | Entrada=00:34:51.969 | ÚltimaExecução=00:35:09.598
ID=cc89a152-b119-413a-9039-efa6fc62a832 | Reentradas=1 | Latência=147ms | Status=sfSucesso | Entrada=00:35:02.266 | ÚltimaExecução=00:35:09.540
ID=3829e06b-6a2d-46e8-b799-423dcae920ba | Reentradas=0 | Latência=147ms | Status=sfSucesso | Entrada=00:35:09.496 | ÚltimaExecução=00:35:09.643
ID=a0e7c10e-ba70-4313-b53a-e4848f7d10c1 | Reentradas=0 | Latência=147ms | Status=sfSucesso | Entrada=00:35:11.853 | ÚltimaExecução=00:35:12.000
ID=be3d32ad-eb18-4ee3-8395-6b152042c375 | Reentradas=0 | Latência=148ms | Status=sfSucesso | Entrada=00:35:07.933 | ÚltimaExecução=00:35:08.081
ID=b8bcde8f-b44d-4a92-85b5-cd70fbfda49b | Reentradas=1 | Latência=148ms | Status=sfSucesso | Entrada=00:35:01.800 | ÚltimaExecução=00:35:09.073
ID=a24ab0f1-9b35-45ce-903f-060bb8e56bad | Reentradas=0 | Latência=147ms | Status=sfSucesso | Entrada=00:35:15.351 | ÚltimaExecução=00:35:15.498
ID=cca3a9fa-8b7b-432b-93c3-15f890e97217 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:17.886 | ÚltimaExecução=00:35:18.013
ID=facc5983-0f28-45a4-9b5a-6ae637af55a8 | Reentradas=3 | Latência=148ms | Status=sfSucesso | Entrada=00:34:51.381 | ÚltimaExecução=00:35:09.012
ID=a9a953fd-f9ad-40d3-affe-fd5193606eb0 | Reentradas=0 | Latência=147ms | Status=sfSucesso | Entrada=00:35:07.701 | ÚltimaExecução=00:35:07.848
ID=bdc7995a-10c6-47da-b1eb-519a440170e5 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:35:19.403 | ÚltimaExecução=00:35:19.530
ID=50a3b333-73d7-4e5f-bf2e-8b00cb365362 | Reentradas=0 | Latência=127ms | Status=sfSucesso | Entrada=00:34:33.595 | ÚltimaExecução=00:34:33.722
ID=8688256f-5e9c-4b65-90c9-8ed4cfb6366e | Reentradas=0 | Latência=2128ms | Status=sfSucesso | Entrada=00:35:04.278 | ÚltimaExecução=00:35:06.405
ID=20c76f94-4249-4896-981a-772d7d8e2bba | Reentradas=1 | Latência=147ms | Status=sfSucesso | Entrada=00:35:00.259 | ÚltimaExecução=00:35:07.535
ID=f03fb9ea-f018-45ea-8567-14a1c22d485d | Reentradas=0 | Latência=225ms | Status=sfSucesso | Entrada=00:34:44.668 | ÚltimaExecução=00:34:44.893
ID=17db116b-e250-47ff-b393-49afc457db45 | Reentradas=0 | Latência=152ms | Status=sfSucesso | Entrada=00:35:11.076 | ÚltimaExecução=00:35:11.228
ID=be19eef6-1727-44a3-b7cf-e4aee7063389 | Reentradas=0 | Latência=229ms | Status=sfSucesso | Entrada=00:34:41.266 | ÚltimaExecução=00:34:41.494
